

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
104.975  000.034  000.034: require('nvim-treesitter.textobjects.swap')
105.067  000.044  000.044: require('nvim-treesitter.textobjects.lsp_interop')
105.089  001.211  000.489: sourcing /home/nelson/.local/share/lunarvim/site/pack/lazy/opt/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim
105.760  000.023  000.023: require('nvim-ts-autotag._log')
105.767  000.055  000.032: require('nvim-ts-autotag.utils')
105.776  000.127  000.072: require('nvim-ts-autotag.internal')
105.778  000.554  000.428: require('nvim-ts-autotag')
105.822  000.610  000.056: sourcing /home/nelson/.local/share/lunarvim/site/pack/lazy/opt/nvim-ts-autotag/plugin/nvim-ts-autotag.vim
106.547  000.055  000.055: require('dapui.config')
106.552  000.101  000.046: require('dapui.util')
106.619  000.044  000.044: require('dapui.render.canvas')
106.647  000.027  000.027: require('dapui.render.loop')
106.649  000.096  000.025: require('dapui.render')
106.683  000.033  000.033: require('dapui.windows.layout')
106.687  000.277  000.048: require('dapui.windows')
106.692  000.752  000.475: require('dapui')
106.873  000.050  000.050: require('dapui.config.highlights')
107.052  000.052  000.052: require('dapui.state')
107.089  000.028  000.028: require('dapui.elements.watches')
107.151  000.031  000.031: require('dapui.components.variables')
107.155  000.064  000.033: require('dapui.components.watches')
107.182  000.024  000.024: require('dapui.elements.stacks')
107.239  000.031  000.031: require('dapui.components.frames')
107.242  000.058  000.027: require('dapui.components.threads')
107.271  000.024  000.024: require('dapui.elements.breakpoints')
107.318  000.024  000.024: require('dapui.components.buf_breakpoints')
107.321  000.048  000.025: require('dapui.components.breakpoints')
107.349  000.022  000.022: require('dapui.elements.scopes')
107.373  000.022  000.022: require('dapui.components.scopes')
107.419  000.024  000.024: require('dapui.components.hover')
107.421  000.045  000.021: require('dapui.elements.hover')
107.451  000.025  000.025: require('dapui.elements.repl')
107.480  000.027  000.027: require('dapui.elements.console')
108.124  000.089  000.089: require('bigfile.features')
108.128  000.487  000.399: require('bigfile')
109.489  000.433  000.433: require('nvim-treesitter-playground')
109.623  000.586  000.153: sourcing /home/nelson/.local/share/lunarvim/site/pack/lazy/opt/playground/plugin/nvim-treesitter-playground.lua
110.086  000.070  000.070: require('vim.treesitter.highlighter')
110.090  000.101  000.031: require('nvim-treesitter-playground.utils')
110.094  000.145  000.044: require('nvim-treesitter-playground.printer')
110.160  000.039  000.039: require('nvim-treesitter.locals')
110.163  000.067  000.027: require('nvim-treesitter-playground.query')
110.194  000.030  000.030: require('nvim-treesitter-playground.promise')
110.219  000.361  000.120: require('nvim-treesitter-playground.internal')
110.973  000.488  000.488: require('onedarker')
111.066  000.028  000.028: require('onedarker.config')
111.107  000.039  000.039: require('onedarker.palette')
111.131  000.155  000.088: require('onedarker.highlights')
112.241  000.100  000.100: require('onedarker.highlights.Treesitter')
112.306  000.060  000.060: require('onedarker.highlights.markdown')
112.335  000.027  000.027: require('onedarker.highlights.Whichkey')
112.367  000.030  000.030: require('onedarker.highlights.Notify')
112.394  000.025  000.025: require('onedarker.highlights.Git')
112.475  000.079  000.079: require('onedarker.highlights.LSP')
112.503  000.026  000.026: require('onedarker.highlights.Diff')
116.710  000.033  000.033: require('onedarker')
116.778  000.025  000.025: require('onedarker.config')
116.808  000.027  000.027: require('onedarker.palette')
116.834  000.121  000.069: require('onedarker.highlights')
117.761  000.064  000.064: require('onedarker.highlights.Treesitter')
117.805  000.041  000.041: require('onedarker.highlights.markdown')
117.831  000.023  000.023: require('onedarker.highlights.Whichkey')
117.858  000.025  000.025: require('onedarker.highlights.Notify')
117.882  000.022  000.022: require('onedarker.highlights.Git')
117.937  000.054  000.054: require('onedarker.highlights.LSP')
117.992  000.053  000.053: require('onedarker.highlights.Diff')
119.413  003.626  003.191: sourcing /home/nelson/.local/share/lunarvim/site/pack/lazy/opt/onedarker.nvim/colors/onedarker.vim
125.578  000.208  000.208: sourcing /home/nelson/.local/share/lunarvim/site/pack/lazy/opt/vim-easy-align/plugin/easy_align.vim
126.479  000.379  000.379: sourcing /home/nelson/.local/share/lunarvim/site/pack/lazy/opt/quick-scope/plugin/quick_scope.vim
127.270  000.296  000.296: sourcing /home/nelson/.local/share/lunarvim/site/pack/lazy/opt/vim-commentary/plugin/commentary.vim
128.270  000.496  000.496: sourcing /home/nelson/.local/share/lunarvim/site/pack/lazy/opt/vim-surround/plugin/surround.vim
131.161  001.686  001.686: require('nvim-tree.notify')
131.169  001.725  000.039: require('nvim-tree.events')
131.282  000.035  000.035: require('nvim-tree.log')
131.357  000.027  000.027: require('nvim-tree.iterators.node-iterator')
131.394  000.109  000.082: require('nvim-tree.utils')
131.474  000.078  000.078: require('nvim-tree.git.utils')
131.512  000.036  000.036: require('nvim-tree.git.runner')
131.547  000.033  000.033: require('nvim-tree.watcher')
131.576  000.027  000.027: require('nvim-tree.explorer.node')
131.580  000.368  000.049: require('nvim-tree.git')
131.610  000.029  000.029: require('nvim-tree.explorer.watch')
131.663  000.027  000.027: require('nvim-tree.explorer.node-builders')
131.692  000.027  000.027: require('nvim-tree.explorer.sorters')
131.722  000.029  000.029: require('nvim-tree.explorer.filters')
131.816  000.058  000.058: require('nvim-tree.view')
131.820  000.096  000.038: require('nvim-tree.live-filter')
131.823  000.212  000.033: require('nvim-tree.explorer.explore')
131.856  000.031  000.031: require('nvim-tree.explorer.reload')
131.859  000.688  000.049: require('nvim-tree.explorer')
131.861  002.442  000.029: require('nvim-tree.core')
131.896  000.034  000.034: require('nvim-tree.diagnostics')
131.947  000.024  000.024: require('nvim-tree.modified')
131.949  000.051  000.027: require('nvim-tree.renderer.components.modified')
131.996  000.029  000.029: require('nvim-tree.renderer.components.padding')
132.023  000.025  000.025: require('nvim-tree.renderer.components.icons')
132.056  000.031  000.031: require('nvim-tree.renderer.components.full-name')
132.081  000.024  000.024: require('nvim-tree.renderer.help')
132.118  000.036  000.036: require('nvim-tree.renderer.components.git')
132.163  000.043  000.043: require('nvim-tree.renderer.builder')
132.205  000.040  000.040: require('nvim-tree.marks')
132.212  002.827  000.072: require('nvim-tree.renderer')
132.239  000.025  000.025: require('nvim-tree.actions.tree-modifiers.collapse-all')
132.265  000.023  000.023: require('nvim-tree.actions.root.dir-up')
132.292  000.026  000.026: require('nvim-tree.actions.root.change-dir')
132.320  000.026  000.026: require('nvim-tree.actions.reloaders.reloaders')
132.345  000.024  000.024: require('nvim-tree.actions.finders.find-file')
132.347  003.000  000.050: require('nvim-tree.lib')
132.391  000.042  000.042: require('nvim-tree.colors')
132.418  000.025  000.025: require('nvim-tree.legacy')
